Channel,Subs (in millions),Views (in millions)
T-Series,123,94410
Canal KondZilla,54.5,27860
Zee Music Company,48.5,22689
Ed Sheeran ,43.2,18905
EminemMusic ,40.2,773
Ariana Grande ,39.3,953
Taylor Swift,36.8,310
JustinBieberVEVO ,33.1,19326
 BLACKPINK,32.4,8112
Alan Walker,31.7,7470
Shemaroo Filmi Gaane,31,14708
ibighit,30.9,7659
One Direction,30.4,356
Wave Music ,30.4,20569
Sony Music India ,29.9,12077
El Reino Infantil,29.2,26159
Maroon 5 ,29.2,294
Trap Nation,27.9,10195
Speed Records,27.4,13769
GR6 EXPLODE ,27.2,13341
TaylorSwiftVEVO ,27,18096
SonyMusicIndiaVEVO,27,12577
Ozuna,27,13059
Daddy Yankee,26.9,9796
YRF,26.8,14253
Spinnin' Records,26.4,15738
Bruno Mars,26.3,11411
RihannaVEVO ,25.9,14768
T-Series Bhakti Sagar,25.8,10552
KatyPerryVEVO,25.8,18603
